,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[207],0.171,0.99,-1.631,2.058,0.005,0.01,43596.0,10928.0,1.0
participant_intercept[208],-0.911,0.982,-2.682,1.02,0.005,0.006,42950.0,10071.0,1.0
participant_intercept[209],0.489,0.973,-1.299,2.367,0.005,0.008,40206.0,10519.0,1.0
participant_intercept[210],-0.458,0.988,-2.3,1.394,0.005,0.008,42160.0,10269.0,1.0
participant_intercept[211],0.926,1.003,-0.981,2.777,0.005,0.007,42594.0,10139.0,1.0
participant_intercept[212],0.939,0.978,-0.846,2.803,0.005,0.006,44950.0,11831.0,1.0
participant_intercept[213],-1.067,0.966,-2.892,0.728,0.005,0.006,39945.0,10998.0,1.0
participant_intercept[214],0.932,0.982,-0.864,2.796,0.005,0.006,35271.0,10774.0,1.0
participant_intercept[215],-0.178,0.985,-2.058,1.662,0.005,0.01,36229.0,10198.0,1.0
participant_intercept[216],-0.153,0.982,-1.959,1.717,0.005,0.009,41824.0,10714.0,1.0
participant_intercept[217],-0.136,0.988,-1.994,1.705,0.005,0.009,39040.0,10691.0,1.0
participant_intercept[218],-0.4,1.002,-2.287,1.438,0.005,0.008,38959.0,11272.0,1.0
participant_intercept[219],-0.73,0.982,-2.581,1.11,0.005,0.007,34349.0,9936.0,1.0
participant_intercept[220],-2.829,0.964,-4.681,-1.06,0.005,0.004,37131.0,10548.0,1.0
participant_intercept[221],-1.703,0.973,-3.53,0.116,0.005,0.005,41392.0,10231.0,1.0
participant_intercept[222],0.635,0.984,-1.172,2.504,0.005,0.007,40151.0,11250.0,1.0
participant_intercept[223],0.022,0.991,-1.828,1.849,0.005,0.01,45697.0,10628.0,1.0
participant_intercept[224],-1.196,0.957,-2.994,0.561,0.005,0.005,36907.0,11157.0,1.0
participant_intercept[225],0.479,0.974,-1.331,2.315,0.005,0.008,35806.0,9998.0,1.0
participant_intercept[226],0.668,0.989,-1.141,2.595,0.005,0.008,37495.0,9450.0,1.0
participant_intercept[227],-1.351,0.97,-3.15,0.493,0.005,0.006,39219.0,9764.0,1.0
participant_intercept[228],-1.235,0.993,-3.099,0.588,0.005,0.006,39835.0,10718.0,1.0
participant_intercept[229],0.683,0.993,-1.162,2.527,0.005,0.008,38447.0,10443.0,1.0
participant_intercept[230],-0.329,0.98,-2.146,1.515,0.005,0.009,37152.0,11091.0,1.0
participant_intercept[231],0.935,0.975,-0.857,2.824,0.005,0.006,35857.0,10464.0,1.0
participant_intercept[232],-0.62,0.983,-2.474,1.173,0.005,0.007,37532.0,10785.0,1.0
participant_intercept[233],0.899,0.965,-0.876,2.704,0.005,0.006,42351.0,11128.0,1.0
participant_intercept[234],0.013,0.97,-1.863,1.801,0.005,0.01,39965.0,10690.0,1.0
participant_intercept[235],-0.031,0.98,-1.936,1.796,0.005,0.01,36911.0,10530.0,1.0
participant_intercept[236],2.316,0.965,0.477,4.123,0.005,0.004,40026.0,10941.0,1.0
participant_intercept[237],0.11,0.977,-1.844,1.871,0.005,0.009,40990.0,10664.0,1.0
participant_intercept[238],0.931,0.99,-0.916,2.793,0.005,0.007,41069.0,10716.0,1.0
participant_intercept[239],-1.41,0.99,-3.232,0.476,0.005,0.005,42292.0,10940.0,1.0
participant_intercept[240],-1.281,0.959,-3.077,0.541,0.005,0.005,43787.0,10910.0,1.0
participant_intercept[241],0.918,0.986,-0.865,2.819,0.005,0.006,38265.0,10521.0,1.0
participant_intercept[242],0.73,0.999,-1.115,2.59,0.005,0.007,37923.0,11053.0,1.0
participant_intercept[243],0.647,0.997,-1.22,2.516,0.005,0.008,38617.0,10197.0,1.0
participant_intercept[244],2.328,0.967,0.535,4.169,0.005,0.004,38071.0,10310.0,1.0
participant_intercept[245],-0.645,1.001,-2.547,1.232,0.005,0.008,41481.0,9432.0,1.0
